Year,stock_vehicles,inflow_vehicles,outflow_vehicles,stock_change_vehicles,stock_machinery,inflow_machinery,outflow_machinery,stock_change_machinery,stock_BC,inflow_BC,outflow_BC,stock_change_BC,stock_appliances,inflow_appliances,outflow_appliances,stock_change_appliances,total_inflow,total_outflow,total_stock,scrap_collection_rate,scrap_supply,primary_steel_needed
2047,5818319271.289051,323697930.38713944,246440340.90064204,77257589.48649788,16801862816.82396,691019172.1955588,404737160.618445,286282011.5771122,31565142133.437767,653057776.709729,211717180.03111064,441340596.6786194,3988284557.6740713,288633045.44765115,226170135.16497242,62462910.28267908,1956407924.7400782,1089064816.7151701,58173608779.22485,0.8676046011930048,1089064816.7151701,867343108.0249081
2048,5895435508.199133,327331957.59145695,250215720.68137443,77116236.91008186,17083807035.072752,697217590.500121,415273372.2513294,281944218.24879265,32004768858.812943,656239835.0233068,216613109.64813712,439626725.3751755,4050302122.794629,292351396.4501921,230333831.3296341,62017565.120557785,1973140779.5650768,1112436033.910475,59034313524.879456,0.8715566087110997,1112436033.910475,860704745.6546018
2049,5972379851.436633,330942133.9088043,253997790.67130405,76944343.23750019,17361179478.38464,703195483.0845928,425823039.77270204,277372443.31188774,32442470735.15267,659281440.5184112,221579564.17867798,437701876.3397293,4111833946.078272,296019458.25996554,234487634.9763229,61531823.28364277,1989438515.7717738,1135888029.599007,59887864011.052216,0.8750879641334439,1135888029.599007,853550486.1727669
2050,6049122033.832325,334527211.28086984,257785028.8851791,76742182.39569187,17633764519.17516,708957674.1603408,436372633.36982393,272585040.7905197,32878040565.22996,662185485.6954072,226615655.61811647,435569830.0772896,4172840970.116745,299635526.2870728,238628502.2486002,61007024.03847313,2005305897.4236903,1159401820.1217196,60733768088.35419,0.8782288229963507,1159401820.1217196,845904077.3019707
2051,6125632109.20073,338085980.1453728,261575904.77696618,76510075.36840534,17901365235.629593,714509275.2806562,446908558.8262194,267600716.45443344,33311275309.955025,664955146.610141,231720401.88507533,433234744.7250633,4233285566.3190436,303198023.4022923,242753427.1999938,60444596.20229864,2020748425.4384623,1182958292.6882546,61571558221.10439,0.881010849601475,1182958292.6882546,837790132.7502077
2052,6201880498.319449,341617270.8363697,265368881.71765104,76248389.1187191,18163803622.45714,719855614.3702713,457417227.5427269,262438386.82754898,33741976449.010605,667593864.4798442,236892725.4242685,430701139.05558014,4293131616.4464116,306705500.595693,246859450.46832505,59846050.12736797,2035772250.2821784,1206538285.1529715,62400792186.23361,0.8834660367480005,1206538285.1529715,829233965.1292069
2053,6277838033.683804,345119954.8593162,269162419.4949616,75957535.36435413,18420920665.593178,725002170.580417,467885127.44437844,257117043.13603592,34169950323.214836,670105326.1859949,242131451.98176172,427973874.20423126,4352344585.839286,310156637.0543296,250943667.66145504,59212969.39287424,2050384088.6800578,1230122666.5825567,63221053608.33111,0.8856257934545216,1230122666.5825567,820261422.097501
2054,6353476002.896559,348592946.03911585,272954976.82636124,75637969.2127552,18672576287.19918,729954515.6374582,478298894.03145593,251655621.6060028,34595008457.46052,672493443.809463,247435309.56378105,425058134.24568176,4410891588.118957,313550239.6842745,255003237.40460372,58547002.279670715,2064591145.1703115,1253692417.826202,64031952335.67522,0.8875202757916181,1253692417.826202,810898727.3441095
2055,6428766190.560217,352035201.54022783,276745013.8765688,75290187.66365814,18918649168.526264,734718262.13951,488645380.81242955,246072881.3270836,35016967863.210175,674762333.33971,252802927.5900551,421959405.7496567,4468741441.221574,316885242.1055648,259035389.002948,57849853.102617264,2078401039.1250126,1277228711.2820015,64833124663.51823,0.8891779272862584,1277228711.2820015,801172327.8430111
2056,6503680918.54766,355445722.7582673,280530994.77082545,74914727.98744297,19159036459.2217,739299019.043748,498911728.34830993,240387290.69543457,35435651319.66063,676916292.7028443,258232836.25238386,418683456.4504547,4525864714.695648,320160703.15130454,263037429.67723,57123273.47407436,2091821737.656164,1300712989.0487492,65624233412.12564,0.8906251923710963,1300712989.0487492,791108748.6074147
