Year,stock_vehicles,inflow_vehicles,outflow_vehicles,stock_change_vehicles,stock_machinery,inflow_machinery,outflow_machinery,stock_change_machinery,stock_BC,inflow_BC,outflow_BC,stock_change_BC,stock_appliances,inflow_appliances,outflow_appliances,stock_change_appliances,total_inflow,total_outflow,total_stock_change,steel_needed_vehicles,steel_needed_machinery,steel_needed_BC,steel_needed_appliances,total_steel_needed
1835,30337373.82135934,1877485.505210732,1031328.3119820196,846157.1932287142,1472241.2234352874,96339.77117767223,25809.594177468567,70530.17700020387,84752253.5178969,2788890.011179588,139799.60354028334,2649090.4076393098,2873611.3400189346,249388.36535059573,141257.89854086115,108130.4668097347,5012103.652918587,1338195.4082406329,3673908.2446779627,2125776.160791137,109080.35685877744,3157710.610484135,282369.07308717817,5674936.201221228
1836,31207739.318436164,1954768.9922578132,1084403.49518099,870365.4970768243,1546320.0674405931,100747.34124158349,26668.49723627742,74078.84400530579,87486684.71717991,2886839.211445648,152408.01216264605,2734431.199283004,2985967.83589382,257803.7253252779,145447.22945039265,112356.49587488547,5200159.270270322,1408927.2340303063,3791232.0362400194,2213280.1089875605,114070.8120941842,3268613.237596975,291897.3339280773,5887861.492606797
1837,32103001.667077214,2035473.9290915176,1140211.580450465,895262.3486410491,1624126.104581138,105323.42226573496,27517.38512519049,77806.03714054474,90309197.2437734,2988377.1445509167,165864.61795742073,2822512.5265934914,3102715.3756257636,266474.18140955566,149726.6416776118,116747.53973194351,5395648.677317725,1483320.2252106878,3912328.4521070286,2304657.981308331,119252.063253776,3383579.1944643534,301714.4264148049,6109203.665441265
1838,33023868.763764333,2117696.537109479,1196829.4404223606,920867.0966871195,1705846.8399902317,110099.17040008007,28378.434990986003,81720.73540909379,93222619.06749277,3093619.279312783,180197.45559341766,2913421.8237193674,3224025.4054392474,275599.08150437655,154289.05169089278,121310.02981348382,5597014.068326719,1559694.382697657,4037319.6856290647,2397754.231328667,124659.38677545298,3502739.2202363936,312046.0614859336,6337198.899826447
1839,33971068.38375096,2199823.574976511,1252623.954989886,947199.6199866273,1791679.2091698155,115107.23899661448,29274.869817030645,85832.36917958385,96229868.34426467,3202682.119899654,195432.84312774654,3007249.276771903,3350076.05270358,285343.5287642772,159292.88149994495,126050.64726433251,5802956.462637057,1636624.549434608,4166331.913202447,2490742.2723918827,130329.754298703,3626225.2263356587,323079.17658998776,6570376.429616232
1840,34945348.72478309,2280602.0331174377,1306321.6920853003,974280.3410321325,1881830.0520213472,120380.75017681753,30229.90732528596,90150.84285153169,99333956.25223729,3315683.0510816537,211595.143109039,3104087.907972619,3481052.385264708,295824.06555471005,164847.73299358136,130976.3325611283,6012489.899930619,1712994.4755132066,4299495.424417412,2582203.3889463744,136300.66822556333,3754170.1212428147,334945.726397996,6807619.904812749
1841,35947478.96484233,2359173.5593310473,1357043.3192718164,1002130.2400592342,1976516.610677737,125952.35773356496,31265.799077175107,94686.55865638983,102537989.9144485,3432740.1931834575,228706.53097224742,3204033.6622112095,3617146.680761129,307102.6149177522,171008.31942133146,136094.29549642093,6224968.725165823,1788023.9687425704,4436944.7564232545,2671165.714822291,142609.1006947067,3886707.6462675016,347715.8230499912,7048198.28483449
1842,36978249.83422273,2435079.725348286,1404308.855967882,1030770.8693803996,2075967.0523286755,131853.45843603797,32403.016785099455,99450.44165093848,105845175.41051783,3553972.270256941,246786.77418761348,3307185.496069327,3758558.706301648,319188.5215795421,177776.49603902298,141412.02554051904,6440093.975620807,1861275.142979618,4578818.832641184,2757110.196272969,149290.60058428213,4023972.2262872974,361400.0470782859,7291773.070222835
1843,38038474.20225539,2508243.3710931228,1448019.0030604603,1060224.368032664,2180421.0182910627,138113.591536198,33659.62557381109,104453.96596238716,109258820.8798893,3679498.4950899775,265853.02571852325,3413645.469371468,3905496.008896614,332047.3680667673,185110.06547180144,146937.3025949658,6657902.825786065,1932641.719824596,4725261.105961485,2839949.469081887,156378.61360529665,4166098.839549341,375959.42942342313,7538386.351659948
1844,39128987.67900021,2578930.336897321,1488416.860152507,1090513.4767448157,2290130.200638604,144760.04740877482,35050.86506123321,109709.18234754121,112782339.71920848,3809438.474703687,285919.6353844916,3523518.8393191844,4058174.2170484676,345614.4216252874,192936.21347343377,152678.20815185364,6878743.28063507,2002323.5740716658,4876419.706563395,2919984.530001496,163904.0391856599,4313222.910669935,391320.67665906635,7788432.156516157
1845,40250649.23222586,2647695.3953013625,1526033.8420757144,1121661.5532256514,2405358.9477702067,151817.68790549273,36588.94077389007,115228.74713160284,116419253.87648036,3943912.1399831027,306997.9827112153,3636914.157271877,4216817.353922075,359810.1984865812,201167.06161297415,158643.13687360706,7103235.421676539,2070787.827173794,5032447.594502738,2997843.5182307092,171895.02706690753,4465480.230959129,407393.7935762921,8042612.569833037
1846,41404341.82000322,2715316.231357392,1561623.6435800276,1153692.5877773613,2526384.9003653387,159308.96495634588,38283.01236121368,121025.95259513194,120173197.24470969,4083039.703006837,329096.33477750985,3753943.3682293296,4381658.162530552,374555.70841439656,209714.89980591944,164840.808608477,7332220.607734971,2138717.8905246705,5193502.717210299,3074406.9648521193,180376.99836542786,4623006.910107379,424089.3437663005,8301880.217091227
