year,steel_stock,stock_vehicles,stock_machinery,stock_BC,stock_appliances,population,stock_per_capita
1922,1947190630.4773695,318013845.3246384,228121579.43736175,1264986915.946301,136068289.76906645,1927207651.0,1.0103688772027242
1923,1998494824.6448345,321695379.89830995,232391425.5970506,1307161504.6877892,137246514.46168664,1944216846.0,1.0279176567966197
1924,2049176510.5826578,324702829.2712851,236644723.78011796,1349574442.588196,138254514.9430567,1961489200.0,1.044704457502319
1925,2105774837.1769543,329134018.99443364,241239074.60284597,1395372090.0735483,140029653.50612423,1979027667.0,1.0640451734406977
1926,2163450427.0587826,333549324.44791514,245406206.31262448,1442833748.9425094,141661147.35573354,1996813608.0,1.083451363908565
1927,2228182971.0349536,345968191.3651604,247129881.7343374,1490880137.1086547,144204760.82679886,2014848732.0,1.1058810200720088
1928,2292145697.0275292,352533035.92193824,252160891.15345344,1540104092.2006276,147347677.75151,2033160306.0,1.1273807039529766
1929,2364334440.9789567,361291011.3454279,258085848.85299975,1593253609.9882941,151703970.79223478,2052125441.0,1.1521393350236997
1930,2422567343.509632,365035818.1001345,262017011.78446084,1641806378.0795026,153708135.54553178,2071786711.0,1.1693131009322475
1931,2461543907.1384726,363060675.5756186,263395367.77837378,1682110564.5490263,152977299.2354562,2092158599.0,1.1765570298136239
1932,2488805662.8525357,357220116.68315876,263213154.29290205,1717900005.5196178,150472386.35685733,2113215566.0,1.177733924969837
1933,2521398106.619483,353529063.7740063,263678912.36135074,1755068665.0076349,149121465.4764883,2134919626.0,1.1810271805611678
1934,2565413850.624229,353351756.7522607,265624541.43800732,1796906223.8656793,149531328.56828165,2156892673.0,1.1894026451747461
1935,2617382655.9030304,356529227.05350715,268699312.8155944,1840601330.4528825,151552785.58104634,2179140887.0,1.2011075885535576
1936,2680267652.939931,363095240.9934308,273214969.5396435,1888132091.2740586,155825351.1327978,2201762907.0,1.2173280076699606
1937,2753860748.0252576,372822597.5003824,278984927.04728174,1940851034.8331945,161202188.64439633,2224730578.0,1.2378401120826674
1938,2813143637.636637,377834460.4107948,283033534.39605075,1988007541.6775467,164268101.15224501,2248127325.0,1.2513275410842832
1939,2886166806.431662,387012763.8913165,288727555.9866655,2040822243.5499284,169604243.00375432,2270675197.0,1.2710610527850241
1940,2955689493.4292245,395623812.1156876,293976958.889972,2091354030.1940367,174734692.22952822,2291979566.0,1.2895793388714811
1941,3015292691.6571937,402934925.5708098,298325648.0932324,2134605806.3570318,179426311.63611984,2312098978.0,1.3041365098761761
1942,3082015240.4946284,411625758.5764867,303303726.70515823,2182474114.784063,184611640.4289236,2331135363.0,1.322109084445573
1943,3165025945.2253494,423723994.00121737,309677327.37065786,2240383287.72423,191241336.12924448,2349014611.0,1.3473845289868014
1944,3241472019.8157225,433814012.8886243,315135097.9052339,2295791837.6676126,196731071.35425493,2366918849.0,1.3694901374355157
1945,3294180133.684226,435122488.4897887,317152608.24650294,2343954585.754437,197950451.1934974,2384671779.0,1.3813977096108478
1946,3349188687.5169463,436170269.3669679,319473869.70169806,2394658069.6868706,198886478.7614131,2402301767.0,1.3941581917493324
1947,3420382640.482996,441564141.00475067,323489237.9174828,2453825287.0883737,201503974.47239232,2421291820.0,1.4126271819986556
1948,3503210183.418182,450123691.86133176,329089518.44155365,2518457923.8624177,205539049.2528785,2441897177.0,1.4346264111423648
1949,3588798296.5527306,459242689.6903559,335140272.0480005,2584589243.077388,209826091.73699,2467923023.0,1.454177566766324
1950,3686145993.5049796,472625757.8747885,343032438.5699277,2654348794.914844,216139002.14541966,2493092852.0,1.4785434046501287
1951,3797009833.02421,489553309.41395056,352558233.2751571,2730725176.53023,224173113.8048721,2536927034.0,1.4966965080731645
1952,3910269263.7385254,506885601.4449232,362715743.3239489,2808084050.27518,232583868.69447708,2584086340.0,1.5132115375597417
1953,4035060347.9747214,527897107.2560939,374341888.8300318,2889949217.3600006,242872134.52859548,2634106241.0,1.5318517853110092
1954,4152537234.2877684,546985249.7457665,385688638.32712984,2967360282.231811,252503063.98306096,2685894857.0,1.5460535335050043
1955,4297008171.357514,574751739.7725172,400417374.9036642,3055744200.928513,266094855.7528197,2740213796.0,1.568128799887815
1956,4445266064.078286,604547365.129103,416346845.8693182,3143891591.502532,280480261.5773332,2795409991.0,1.59020182312795
1957,4605463754.775075,637121768.4848009,433935800.387719,3238601250.894557,295804935.00799775,2852618331.0,1.6144689616295798
